kod,pozycja
1000162,1185
1000165,2001
1000166,2002
1000167,2003
1000168,2004
1000170,2005
1000177,2006
1000182,2007
1000183,2008
1000193,2009
1000197,2010
1000203,2011
1000204,2012
1000207,2013
1000208,2014
1000209,2015
1000212,2016
1000213,1158
1000214,2017
1000215,2018
1000218,2019
1000222,2020
1000223,2021
1000226,2022
1000228,2023
1000229,1135
1000231,2024
1000232,2025
1000233,2026
1000235,2027
1000236,2028
1000240,2029
1000242,2030
1000244,2031
1000246,2032
1000249,2033
1000250,1099
1000251,2034
1000252,2035
1000253,2036
1000254,2037
1000261,2038
1000263,2039
1000264,2299
1000268,1050
1000269,2300
1000273,2040
1000274,2041
1000275,1069
1000276,1020
1000277,2042
1000278,2043
1000280,2044
1000281,1059
1000282,1054
1000284,1053
1000289,1100
1000291,2045
1000293,2046
1000294,1051
1000296,1070
1000297,1052
1000298,1049
1000299,1101
1000301,1062
1000303,1063
1000305,1186
1000306,1187
1000309,1058
1000310,1056
1000311,1055
1000313,1068
1000317,1065
1000318,1086
1000319,1087
1000320,1016
1000322,1073
1000324,1057
1000326,1064
1000327,1074
1000329,1084
1000335,1046
1000337,1078
1000338,1088
1000339,1066
1000342,1067
1000347,2239
1000349,1076
1000350,1082
1000351,1060
1000352,1102
1000354,1061
1000357,1077
1000361,1072
1000363,1047
1000364,1085
1000366,1048
1000369,1075
1000371,1092
1000372,1071
1000374,1109
1000376,1081
1000378,1079
1000382,1116
1000386,1080
1000389,1098
1000390,1003
1000391,1089
1000392,1110
1000396,1166
1000397,1163
1000398,1090
1000400,1104
1000401,1103
1000402,1105
1000403,1122
1000407,1083
1000410,9508
1000411,9507
1000415,1304
1000416,1096
1000417,1177
1000425,1106
1000426,1107
1000429,1094
1000430,1021
1000431,2155
1000434,1147
1000436,1093
1000437,1155
1000438,1091
1000440,1097
1000443,1123
1000446,1095
1000447,1132
1000450,1042
1000451,1179
1000459,1112
1000460,2047
1000462,2048
1000469,1133
1000470,1134
1000471,1131
1000474,1156
1000477,1121
1000481,1041
1000482,1108
1000483,1113
1000484,1045
1000486,1115
1000487,1181
1000489,1114
1000490,1235
1000491,1234
1000493,1161
1000495,1154
1000498,1164
1000502,1148
1000506,1162
1000508,1130
1000509,1126
1000511,1160
1000512,1173
1000513,1146
1000516,1153
1000517,1035
1000519,1127
1000520,1157
1000521,1159
1000524,1111
1000525,1290
1000528,1182
1000529,1145
1000530,2049
1000531,1143
1000532,1172
1000533,1118
1000534,1222
1000536,1180
1000538,1129
1000541,1165
1000543,1128
1000544,2050
1000546,1189
1000551,1183
1000556,1184
1000559,1125
1000560,1139
1000562,1191
1000563,1207
1000564,1190
1000565,1119
1000566,1120
1000567,1203
1000568,1124
1000569,1117
1000571,1150
1000572,1138
1000574,1202
1000575,1206
1000577,1144
1000578,1152
1000579,1137
1000580,1201
1000581,1141
1000582,1149
1000584,1136
1000585,1209
1000586,1151
1000587,1142
1000595,1140
1000597,1205
1000598,1199
1000599,1193
1000600,2051
1000601,2052
